seed_param,seed_sim,r,n,events,median,lwr,upr
5,6,-0.75,100,100,65,65,70
5,6,-0.5,100,100,65,65,70
5,6,-0.25,100,100,70,65,70
5,6,0,100,100,70,65,70
5,6,0.25,100,100,70,65,70
5,6,0.5,100,100,70,65,70
5,6,0.75,100,100,67.5,65,70
5,6,1,100,100,70,70,70
5,7,-1,100,100,65,60,70
5,7,-0.75,100,100,70,65,75
5,7,-0.5,100,100,65,60,70
5,7,-0.25,100,100,70,65,70
5,7,0,100,100,70,65,70
5,7,0.25,100,100,65,65,70
5,7,0.5,100,100,70,65,70
5,7,0.75,100,100,70,65,70
5,7,1,100,100,70,70,70
5,8,-1,100,100,65,65,70
5,8,-0.75,100,100,65,65,70
5,8,-0.5,100,100,65,65,70
5,8,-0.25,100,100,65,65,70
5,8,0,100,100,67.5,65,75
5,8,0.25,100,100,70,65,70
5,8,0.5,100,100,70,65,70
5,8,0.75,100,100,70,70,70
5,8,1,100,100,67.5,65,70
5,9,-1,100,100,65,60,70
5,9,-0.75,100,100,65,65,70
5,9,-0.5,100,100,67.5,65,70
5,9,-0.25,100,100,70,65,70
5,9,0,100,100,65,65,70
5,9,0.25,100,100,70,65,70
5,9,0.5,100,100,65,65,70
5,9,0.75,100,100,65,65,70
5,9,1,100,100,70,65,70
5,10,-1,100,100,65,65,70
5,10,-0.75,100,100,65,65,70
5,10,-0.5,100,100,67.5,65,70
5,10,-0.25,100,100,70,65,75
5,10,0,100,100,65,65,70
5,10,0.25,100,100,65,65,70
5,10,0.5,100,100,70,65,70
5,10,0.75,100,100,70,65,70
5,10,1,100,100,70,65,70
6,1,-1,100,100,70,65,75
6,1,-0.75,100,100,70,65,70
6,1,-0.5,100,100,70,65,75
6,1,-0.25,100,100,65,65,70
6,1,0,100,100,65,65,70
6,1,0.25,100,100,70,65,75
6,1,0.5,100,100,70,65,75
6,1,0.75,100,100,70,70,70
6,1,1,100,100,70,70,70
6,2,-1,100,100,70,65,70
6,2,-0.75,100,100,65,60,70
6,2,-0.5,100,100,65,65,70
6,2,-0.25,100,100,65,65,70
6,2,0,100,100,70,65,70
6,2,0.25,100,100,67.5,65,70
6,2,0.5,100,100,70,65,75
6,2,0.75,100,100,70,65,70
6,2,1,100,100,70,70,70
6,3,-1,100,100,70,65,75
6,3,-0.75,100,100,65,65,75
6,3,-0.5,100,100,67.5,65,70
6,3,-0.25,100,100,70,65,70
6,3,0,100,100,70,65,70
6,3,0.25,100,100,70,65,70
6,3,0.5,100,100,65,65,70
6,3,0.75,100,100,70,65,70
6,3,1,100,100,70,70,70
6,4,-1,100,100,65,60,75
6,4,-0.75,100,100,70,65,75
6,4,-0.5,100,100,70,65,70
6,4,-0.25,100,100,67.5,65,70
6,4,0,100,100,70,65,70
6,4,0.25,100,100,70,65,70
6,4,0.5,100,100,65,65,70
6,4,0.75,100,100,70,65,70
6,4,1,100,100,70,65,70
6,5,-1,100,100,67.5,65,70
6,5,-0.75,100,100,65,65,70
