seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
3,6,0.75,66.35,9.096980295958133,65,60,70,10
3,6,1,67.35,6.796277947479336,70,60,70,10
3,7,-1,65.65,16.600702796367788,65,55,75,20
3,7,-0.75,65.6,16.272304040543208,65,55,75,20
3,7,-0.5,67.3,15.992738251083733,65,58.75,75,16.25
3,7,-0.25,67.7,14.778157510120787,65,60,75,15
3,7,0,67.4,14.11496805636921,67.5,60,75,15
3,7,0.25,67,12.350111437766564,65,60,75,15
3,7,0.5,67.05,10.519222423926609,65,60,75,15
3,7,0.75,67.1,9.078223472361838,65,60,75,15
3,7,1,68,8.64566219253764,70,60,75,15
3,8,-1,65.5,15.250434668420358,65,55,75,20
3,8,-0.75,67,15.666989036012806,65,55,75,20
3,8,-0.5,65.7,15.68342108628398,65,55,75,20
3,8,-0.25,66.95,13.851576141947227,65,60,75,15
3,8,0,66.45,13.693893795145604,65,60,75,15
3,8,0.25,68.05,12.327496571371322,65,60,75,15
3,8,0.5,67.6,11.403525947723539,65,60,75,15
3,8,0.75,68.55,10.281271587432435,70,63.75,75,11.25
3,8,1,67.95,7.72294887940736,65,65,70,5
3,9,-1,65.95,15.23709919634285,65,55,75,20
3,9,-0.75,66.15,15.999605424427621,65,55,75,20
3,9,-0.5,66.05,14.200850024352114,65,55,75,20
3,9,-0.25,66.95,14.717799983816752,65,60,75,15
3,9,0,66.85,13.02008937268586,65,60,75,15
3,9,0.25,66.35,12.306174027370131,65,60,75,15
3,9,0.5,67.7,10.57488925844062,65,63.75,75,11.25
3,9,0.75,67.75,9.933490948515654,67.5,60,75,15
3,9,1,68.15,7.165257084774355,67.5,65,71.25,6.25
3,10,-1,67.05,17.61104738222545,65,55,75,20
3,10,-0.75,65.95,14.697196186945854,65,55,75,20
3,10,-0.5,66.8,15.513435037626794,65,55,75,20
3,10,-0.25,66.55,16.278743033400175,65,55,75,20
3,10,0,66.55,13.84792950282285,65,58.75,75,16.25
3,10,0.25,67.35,12.977350120945962,65,60,75,15
3,10,0.5,67.3,11.290918850334922,65,60,75,15
3,10,0.75,67.95,11.125886640414485,65,60,75,15
3,10,1,67,7.719841941125453,65,60,70,10
4,1,-1,67.2,15.510179127452286,65,55,75,20
4,1,-0.75,66.75,14.6400412595323,65,55,75,20
4,1,-0.5,67.05,14.461635069690042,65,60,75,15
4,1,-0.25,66.75,12.0892096474083,65,60,75,15
4,1,0,67.85,13.375973484822204,65,60,75,15
4,1,0.25,67.3,10.71720979819775,67.5,60,75,15
4,1,0.5,69.2,10.534215536512292,70,65,75,10
4,1,0.75,66.9,7.906652358308889,65,65,75,10
4,1,1,69.85,7.435072496640704,70,65,75,10
4,2,-1,67.35,15.770689473344103,65,55,75,20
4,2,-0.75,67.35,15.266239904052366,65,55,75,20
4,2,-0.5,67.7,14.131775214284676,65,60,75,15
4,2,-0.25,68.35,13.315423577584944,70,60,75,15
4,2,0,67.95,12.63502827040523,65,60,75,15
4,2,0.25,68.2,11.225871993756298,70,60,75,15
4,2,0.5,68.15,9.965977476931556,67.5,60,75,15
4,2,0.75,68.5,9.808777763417888,70,60,75,15
4,2,1,69.25,7.012794944192574,70,65,75,10
4,3,-1,67.5,16.135474438439527,65,58.75,75,16.25
4,3,-0.75,66.45,14.793101722960555,65,55,75,20
4,3,-0.5,66.6,13.293121180034081,65,60,70,10
4,3,-0.25,66.05,13.071192011674398,65,60,75,15
4,3,0,68.4,11.761089759169103,67.5,60,75,15
4,3,0.25,67,10.612552125962097,67.5,60,70,10
4,3,0.5,67.8,9.490026662797426,70,65,70,5
4,3,0.75,68.2,7.638287395970012,70,60,75,15
4,3,1,67.9,7.790825995808769,65,65,75,10
4,4,-1,67.1,15.84616704761786,65,55,75,20
4,4,-0.75,67,14.052570849305386,65,60,75,15
4,4,-0.5,66.8,13.605554421305701,65,60,75,15
4,4,-0.25,67.25,13.378238775237671,65,60,75,15
4,4,0,66.85,11.990210653493603,65,60,75,15
4,4,0.25,66.55,10.979664398470032,65,60,75,15
4,4,0.5,68.2,9.225568335398698,70,60,75,15
4,4,0.75,66.7,8.047209190618556,65,60,70,10
4,4,1,69.25,7.66650197451566,70,65,75,10
4,5,-1,67.45,15.739274045353792,65,60,75,15
4,5,-0.75,66.65,13.781392080510868,65,60,75,15
4,5,-0.5,67.25,13.283524389333586,65,60,75,15
4,5,-0.25,66.95,12.245283569479708,65,60,75,15
4,5,0,67.25,12.52018572166765,65,60,70,10
4,5,0.25,67.65,10.599575939678441,65,60,75,15
4,5,0.5,68.9,9.86218161780781,70,63.75,75,11.25
4,5,0.75,68.3,8.202611064949275,70,65,75,10
4,5,1,69.15,7.622898783178606,70,65,75,10
4,6,-1,65.95,14.243463856318892,65,55,75,20
4,6,-0.75,67.35,14.86394525981809,65,58.75,75,16.25
4,6,-0.5,68.3,15.654411712376996,65,60,75,15
4,6,-0.25,67.95,13.597663940782793,65,60,75,15
